,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
322,Brendan Hines-Ike,us USA,DF,D.C. United,27,1994,20,20,1682,18.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.02,0.01,0.02,Matches,b807c1dc
323,Bongokuhle Hlongwane,za RSA,FW,Minnesota Utd,21,2000,29,18,1598,17.8,2,4,2,0,0,0,0,0.11,0.23,0.34,0.11,0.34,5.0,5.0,3.8,8.8,0.28,0.22,0.50,0.28,0.50,Matches,de9952b5
324,Danny Hoesen,nl NED,FW,Austin,31,1991,14,3,382,4.2,3,0,3,0,0,0,0,0.71,0.00,0.71,0.71,0.71,2.3,2.3,0.5,2.7,0.54,0.11,0.65,0.54,0.65,Matches,5ef1939b
325,Ryan Hollingshead,us USA,DF,Los Angeles FC,30,1991,30,22,1930,21.4,6,1,6,0,0,3,1,0.28,0.05,0.33,0.28,0.33,2.8,2.8,1.1,3.9,0.13,0.05,0.18,0.13,0.18,Matches,28b58797
326,Erik Holt,us USA,DF,Real Salt Lake,25,1996,10,6,563,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.8,0.10,0.02,0.12,0.10,0.12,Matches,3677d047
327,Jackson Hopkins,us USA,MFFW,D.C. United,17,2004,21,11,904,10.0,0,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.6,0.6,1.5,2.1,0.06,0.15,0.21,0.06,0.21,Matches,8344adf5
328,Adrien Hunou,fr FRA,FWMF,Minnesota Utd,28,1994,9,1,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.18,0.02,0.20,0.18,0.20,Matches,d14229f3
329,Erik Hurtado,us USA,FW,Columbus Crew,31,1990,14,4,423,4.7,3,0,3,0,0,2,0,0.64,0.00,0.64,0.64,0.64,1.3,1.3,0.5,1.8,0.27,0.11,0.38,0.27,0.38,Matches,b11e6f2b
330,Emerson Hyndman,us USA,MF,Atlanta Utd,25,1996,9,2,288,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.21,0.03,0.24,0.21,0.24,Matches,3be1a627
331,Franco Ibarra,ar ARG,MF,Atlanta Utd,20,2001,20,11,979,10.9,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,1.0,1.5,0.05,0.09,0.14,0.05,0.14,Matches,db6540c5
332,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30,1992,17,12,1187,13.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,41ba8175
333,Sunusi Ibrahim,ng NGA,MFFW,CF Montréal,19,2002,6,3,236,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.08,0.08,0.16,0.08,0.16,Matches,796994e5
334,James Igbekeme,ng NGA,FWMF,Columbus Crew,26,1995,23,8,901,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.5,1.9,0.15,0.05,0.19,0.15,0.19,Matches,c9ce0fc8
335,Tega Ikoba,us USA,FW,Portland Timbers,18,2003,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.29,0.00,0.29,0.29,0.29,Matches,35d550f2
336,Arnór Ingvi Traustason,is ISL,FWMF,New England,28,1993,15,5,496,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.12,0.18,0.29,0.12,0.29,Matches,7d036b4a
337,Lorenzo Insigne,it ITA,FWMF,Toronto FC,30,1991,11,11,926,10.3,6,2,6,0,1,1,0,0.58,0.19,0.78,0.58,0.78,3.9,3.1,2.5,5.6,0.38,0.24,0.62,0.30,0.55,Matches,2f557579
338,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30,1991,28,26,2276,25.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.02,0.02,0.05,0.02,0.05,Matches,14e8e9d7
339,Aljaž Ivačič,si SVN,GK,Portland Timbers,28,1993,32,32,2880,32.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4d6e50d8
340,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,22,1999,15,12,882,9.8,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,1.6,2.5,0.10,0.16,0.26,0.10,0.26,Matches,0cafba94
341,Robin Jansson,se SWE,DF,Orlando City,30,1991,22,22,1970,21.9,1,1,1,0,0,11,1,0.05,0.05,0.09,0.05,0.09,1.0,1.0,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Matches,8ca5c176
342,Franco Jara,ar ARG,FW,FC Dallas,33,1988,30,7,905,10.1,3,1,2,1,1,2,0,0.30,0.10,0.40,0.20,0.30,5.0,4.2,0.9,5.2,0.50,0.09,0.59,0.42,0.51,Matches,413cce14
343,Andres Jasson,us USA,DFMF,NYCFC,20,2002,15,4,467,5.2,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.7,0.7,1.1,1.8,0.14,0.20,0.34,0.14,0.34,Matches,31d049b2
344,Corentin Jean,fr FRA,FWMF,Inter Miami,26,1995,3,0,76,0.8,0,1,0,0,0,0,0,0.00,1.18,1.18,0.00,1.18,0.2,0.2,0.1,0.3,0.28,0.11,0.39,0.28,0.39,Matches,7d9b37bf
345,Cal Jennings,us USA,FWMF,Los Angeles FC,24,1997,3,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,44f6672a
346,Hector Jiménez,us USA,DF,Austin,33,1988,14,8,598,6.6,0,2,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,0.1,0.1,1.4,1.5,0.01,0.21,0.22,0.01,0.22,Matches,2dc1e90e
347,Jesús Jiménez,es ESP,FW,Toronto FC,28,1993,33,27,2342,26.0,9,3,9,0,0,2,0,0.35,0.12,0.46,0.35,0.46,7.8,7.8,4.1,11.9,0.30,0.16,0.46,0.30,0.46,Matches,1e161d47
348,Sean Johnson,us USA,GK,NYCFC,32,1989,34,34,3060,34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c164335e
349,Alistair Johnston,ca CAN,DF,CF Montréal,23,1998,33,30,2646,29.4,4,4,4,0,0,5,0,0.14,0.14,0.27,0.14,0.27,1.3,1.3,3.2,4.4,0.04,0.11,0.15,0.04,0.15,Matches,4fb17e20
350,DeJuan Jones,us USA,DF,New England,24,1997,31,31,2737,30.4,1,5,1,0,0,4,0,0.03,0.16,0.20,0.03,0.20,1.3,1.3,4.2,5.6,0.04,0.14,0.18,0.04,0.18,Matches,10d1139c
351,Derrick Jones,us USA,MF,Charlotte,24,1997,16,10,944,10.5,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,1.4,1.4,0.1,1.5,0.13,0.01,0.14,0.13,0.14,Matches,93c92d6c
352,Joevin Jones,tt TRI,DFMF,Inter Miami,30,1991,8,0,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.15,0.15,0.00,0.15,Matches,fc23d956
353,Jony,ar ARG,FWMF,Real Salt Lake,27,1994,4,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.27,0.00,0.27,0.27,0.27,Matches,60665492
354,Juan José Sánchez,co COL,DF,Atlanta Utd,24,1998,17,16,1452,16.1,6,0,6,0,0,5,0,0.37,0.00,0.37,0.37,0.37,2.3,2.3,0.1,2.3,0.14,0.01,0.15,0.14,0.15,Matches,1835f053
355,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,22,1999,32,7,1003,11.1,11,3,9,2,3,3,0,0.99,0.27,1.26,0.81,1.08,7.4,5.0,2.9,7.9,0.66,0.26,0.92,0.45,0.71,Matches,95a24690
356,Kamil Jóźwiak,pl POL,FWMF,Charlotte,23,1998,19,13,1151,12.8,0,3,0,0,0,4,0,0.00,0.23,0.23,0.00,0.23,1.7,1.7,2.7,4.4,0.13,0.21,0.34,0.13,0.34,Matches,bd4e3824
357,Judson,br BRA,MF,San Jose,28,1993,16,7,657,7.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches,e1535f82
358,Anderson Julio,ec ECU,FWMF,Real Salt Lake,25,1996,19,3,522,5.8,3,1,3,0,0,1,0,0.52,0.17,0.69,0.52,0.69,2.2,2.2,0.5,2.7,0.38,0.09,0.47,0.38,0.47,Matches,f907a6a8
359,Florian Jungwirth,de GER,DFMF,Vancouver,33,1989,13,10,858,9.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f179c207
360,Sam Junqua,us USA,DF,Houston Dynamo,25,1996,15,4,513,5.7,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.5,0.5,0.01,0.09,0.09,0.01,0.09,Matches,91981d97
361,Chris Kablan,ch SUI,MF,Real Salt Lake,27,1994,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,04159652
362,Kristijan Kahlina,hr CRO,GK,Charlotte,29,1992,31,31,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,53e360bb
363,Brent Kallman,us USA,DF,Minnesota Utd,31,1990,20,15,1395,15.5,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.6,1.6,0.06,0.04,0.10,0.06,0.10,Matches,2b24702b
364,Kei Kamara,sl SLE,FW,CF Montréal,37,1984,32,14,1561,17.3,9,7,9,0,0,1,0,0.52,0.40,0.92,0.52,0.92,6.6,6.6,2.6,9.2,0.38,0.15,0.53,0.38,0.53,Matches,6e3f3809
365,Ola Kamara,no NOR,FWMF,D.C. United,32,1989,30,15,1491,16.6,9,1,8,1,1,2,1,0.54,0.06,0.60,0.48,0.54,7.3,6.5,1.2,7.8,0.44,0.07,0.52,0.39,0.47,Matches,e134351a
366,Bernard Kamungo,tz TAN,FW,FC Dallas,20,2002,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,1.25,1.25,0.00,1.25,Matches,186acc62
367,Alec Kann,us USA,GK,FC Cincinnati,31,1990,7,7,630,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4a8af93c
368,Johan Kappelhof,nl NED,DF,Real Salt Lake,31,1990,6,6,540,6.0,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.8,0.8,0.1,0.9,0.14,0.01,0.15,0.14,0.15,Matches,465015a5
369,Wilfrid Kaptoum,cm CMR,MF,New England,25,1996,21,15,1066,11.8,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.7,0.7,0.1,0.7,0.06,0.00,0.06,0.06,0.06,Matches,d717630e
370,Ercan Kara,at AUT,FW,Orlando City,26,1996,29,22,1776,19.7,11,3,10,1,1,2,0,0.56,0.15,0.71,0.51,0.66,9.4,8.7,1.6,10.3,0.48,0.08,0.56,0.44,0.52,Matches,540c9a17
371,Mark-Anthony Kaye,ca CAN,MF,Toronto FC,27,1994,8,7,628,7.0,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,0.3,0.9,0.08,0.05,0.13,0.08,0.13,Matches,36a38acd
372,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27,1994,17,15,1280,14.2,3,1,3,0,0,2,0,0.21,0.07,0.28,0.21,0.28,1.9,1.9,1.7,3.6,0.13,0.12,0.25,0.13,0.25,Matches,36a38acd
373,Kipp Keller,us USA,DF,Austin,21,2000,6,3,318,3.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,fe5fea9f
374,Jon Kempin,us USA,GK,D.C. United,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,063adc5e
375,Deandre Kerr,ca CAN,MFFW,Toronto FC,19,2002,26,11,1306,14.5,3,0,3,0,0,2,0,0.21,0.00,0.21,0.21,0.21,2.9,2.9,0.9,3.8,0.20,0.06,0.26,0.20,0.26,Matches,a3e85f7b
376,Henry Kessler,us USA,DF,New England,23,1998,22,21,1845,20.5,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.0,1.1,0.06,0.00,0.06,0.06,0.06,Matches,23c75879
377,Nabilai Kibunguchy,us USA,MF,Minnesota Utd,24,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,3b114bfc
378,Benjamin Kikanovic,us USA,FWMF,San Jose,22,2000,30,16,1370,15.2,6,3,6,0,0,5,0,0.39,0.20,0.59,0.39,0.59,3.6,3.6,1.5,5.0,0.23,0.10,0.33,0.23,0.33,Matches,fe11d61b
379,Patryk Klimala,pl POL,FW,NY Red Bulls,23,1998,28,20,1638,18.2,5,3,3,2,3,6,0,0.27,0.16,0.44,0.16,0.33,8.2,5.8,2.4,8.3,0.45,0.13,0.58,0.32,0.45,Matches,0bf3c11c
380,Sacha Kljestan,us USA,MFFW,LA Galaxy,36,1985,21,1,440,4.9,1,2,0,1,1,0,0,0.20,0.41,0.61,0.00,0.41,1.2,0.4,0.9,1.4,0.25,0.19,0.44,0.09,0.28,Matches,73682895
381,Brad Knighton,us USA,GK,New England,36,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9903a3cb
382,Žan Kolmanič,si SVN,DF,Austin,21,2000,21,12,1070,11.9,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,1.8,2.0,0.02,0.15,0.17,0.02,0.17,Matches,4501fd21
383,Ismaël Koné,ca CAN,MF,CF Montréal,19,2002,26,18,1582,17.6,2,4,2,0,0,7,1,0.11,0.23,0.34,0.11,0.34,1.5,1.5,2.4,3.8,0.08,0.13,0.22,0.08,0.22,Matches,e0220b70
384,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,32,1989,5,3,300,3.3,1,0,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.3,1.3,0.1,1.3,0.37,0.02,0.39,0.37,0.39,Matches,068be155
385,Theodore Ku-Dipietro,us USA,FWMF,D.C. United,20,2002,10,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,ef7c10e0
386,Yuya Kubo,jp JPN,MF,FC Cincinnati,28,1993,27,14,1349,15.0,1,1,1,0,0,5,0,0.07,0.07,0.13,0.07,0.13,0.9,0.9,2.1,3.0,0.06,0.14,0.20,0.06,0.20,Matches,cba16a46
387,Jojea Kwizera,cg CGO,DFMF,CF Montréal,23,1999,8,3,276,3.1,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,Matches,cc61360d
388,Lassi Lappalainen,fi FIN,DFMF,CF Montréal,23,1998,28,26,1928,21.4,3,5,3,0,0,1,0,0.14,0.23,0.37,0.14,0.37,3.8,3.8,3.2,7.0,0.18,0.15,0.33,0.18,0.33,Matches,bcb2282d
389,Jesús David Murillo Largacha,co COL,DF,Los Angeles FC,27,1994,29,27,2339,26.0,2,3,2,0,0,9,0,0.08,0.12,0.19,0.08,0.19,2.1,2.1,1.4,3.4,0.08,0.05,0.13,0.08,0.13,Matches,68d48a71
390,Richie Laryea,ca CAN,DF,Toronto FC,27,1995,10,10,862,9.6,0,3,0,0,0,5,0,0.00,0.31,0.31,0.00,0.31,0.0,0.0,2.0,2.1,0.00,0.21,0.22,0.00,0.22,Matches,276fdbe4
391,Ariel Lassiter,cr CRC,FWMF,Inter Miami,27,1994,30,17,1640,18.2,4,4,4,0,0,2,0,0.22,0.22,0.44,0.22,0.44,4.9,4.9,4.0,8.8,0.27,0.22,0.48,0.27,0.48,Matches,bd7b916c
392,Vuk Latinovich,us USA,DF,NYCFC,24,1997,5,2,254,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches,5c0e047a
393,Kemar Lawrence,jm JAM,DF,Minnesota Utd,29,1992,27,26,2305,25.6,1,2,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,0.4,0.4,0.8,1.2,0.02,0.03,0.05,0.02,0.05,Matches,80be3efe
394,Randall Leal,cr CRC,MF,Nashville,25,1997,28,26,2128,23.6,2,5,1,1,1,7,0,0.08,0.21,0.30,0.04,0.25,3.6,2.8,5.4,8.2,0.15,0.23,0.38,0.12,0.35,Matches,874a5031
395,Kelvin Leerdam,sr SUR,DFMF,LA Galaxy,31,1990,10,5,479,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04,Matches,d8b47705
396,Brooks Lennon,us USA,DFFW,Atlanta Utd,24,1997,25,22,2033,22.6,2,6,2,0,0,1,0,0.09,0.27,0.35,0.09,0.35,1.8,1.8,7.9,9.8,0.08,0.35,0.43,0.08,0.43,Matches,ec80ba72
397,Jonathan Lewis,us USA,FWMF,Colorado Rapids,24,1997,33,25,2208,24.5,5,2,5,0,0,4,0,0.20,0.08,0.29,0.20,0.29,8.1,8.1,2.1,10.2,0.33,0.08,0.42,0.33,0.42,Matches,2501eb59
398,Danny Leyva,us USA,MF,Seattle,18,2003,19,12,951,10.6,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.5,0.8,0.04,0.04,0.08,0.04,0.08,Matches,ecc3a9c9
399,Azaad Liadi,us USA,MF,D.C. United,23,1998,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ba702426
400,Nick Lima,us USA,DF,Austin,27,1994,34,25,2344,26.0,0,4,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.8,0.8,2.6,3.4,0.03,0.10,0.13,0.03,0.13,Matches,959686eb
401,Jaylin Lindsey,us USA,DF,Charlotte,21,2000,26,18,1669,18.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.7,1.9,0.01,0.09,0.10,0.01,0.10,Matches,83cb6e59
402,Sebastian Lletget,us USA,MF,FC Dallas,29,1992,10,9,815,9.1,1,4,1,0,0,1,0,0.11,0.44,0.55,0.11,0.55,0.8,0.8,1.2,2.0,0.09,0.14,0.22,0.09,0.22,Matches,73019c31
403,Sebastian Lletget,us USA,FWMF,New England,29,1992,19,18,1447,16.1,2,4,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,2.7,2.7,1.4,4.1,0.17,0.09,0.26,0.17,0.26,Matches,73019c31
404,Robin Lod,fi FIN,FWMF,Minnesota Utd,28,1993,30,29,2492,27.7,6,2,6,0,0,7,0,0.22,0.07,0.29,0.22,0.29,7.2,7.2,3.0,10.2,0.26,0.11,0.37,0.26,0.37,Matches,33c69aa0
405,Nicolás Lodeiro,uy URU,MF,Seattle,32,1989,28,26,2316,25.7,7,7,3,4,5,6,0,0.27,0.27,0.54,0.12,0.39,6.5,2.5,7.5,10.1,0.25,0.29,0.54,0.10,0.39,Matches,fe81d0d1
406,Jasper Löffelsend,de GER,MF,Real Salt Lake,24,1997,30,19,1626,18.1,1,3,1,0,0,7,0,0.06,0.17,0.22,0.06,0.22,0.8,0.8,1.4,2.2,0.04,0.08,0.12,0.04,0.12,Matches,ce037639
407,Aaron Long,us USA,DF,NY Red Bulls,29,1992,29,28,2366,26.3,4,0,4,0,0,5,0,0.15,0.00,0.15,0.15,0.15,2.6,2.6,0.4,3.0,0.10,0.01,0.11,0.10,0.11,Matches,46b89640
408,Marcos López,pe PER,DF,San Jose,22,1999,17,16,1385,15.4,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.4,1.1,0.05,0.02,0.07,0.05,0.07,Matches,9b3ab988
409,Marvin Loría,cr CRC,FWMF,Portland Timbers,24,1997,28,7,803,8.9,2,1,2,0,1,0,0,0.22,0.11,0.34,0.22,0.34,2.5,1.6,0.8,2.4,0.28,0.09,0.37,0.18,0.27,Matches,71380d87
410,Daniel Lovitz,us USA,DF,Nashville,30,1991,31,29,2618,29.1,1,4,1,0,0,6,0,0.03,0.14,0.17,0.03,0.17,0.9,0.9,2.6,3.5,0.03,0.09,0.12,0.03,0.12,Matches,db97d838
411,Damion Lowe,jm JAM,DF,Inter Miami,28,1993,28,28,2383,26.5,1,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,1.3,1.3,1.0,2.3,0.05,0.04,0.09,0.05,0.09,Matches,b6e2e54c
412,Everton Luiz,br BRA,MF,Real Salt Lake,33,1988,12,4,435,4.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.02,0.02,0.01,0.02,Matches,3799e138
413,Diego Luna,us USA,MF,Real Salt Lake,18,2003,13,3,318,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.10,0.06,0.16,0.10,0.16,Matches,e67f8af0
414,Adam Lundqvist,se SWE,DF,Houston Dynamo,27,1994,31,30,2581,28.7,0,5,0,0,0,5,1,0.00,0.17,0.17,0.00,0.17,0.3,0.3,2.1,2.4,0.01,0.07,0.08,0.01,0.08,Matches,91769a24
415,Luquinhas,br BRA,MFFW,NY Red Bulls,25,1996,30,21,1937,21.5,5,3,5,0,0,1,0,0.23,0.14,0.37,0.23,0.37,3.1,3.1,2.0,5.1,0.14,0.09,0.24,0.14,0.24,Matches,85937928
416,Jack Lynn,us USA,FWDF,Orlando City,22,2000,3,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c81d718e
417,Larrys Mabiala,cd COD,DF,Portland Timbers,34,1987,21,18,1561,17.3,0,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches,5bdec47f
418,Aimé Mabika,zm ZAM,DF,Inter Miami,23,1998,15,13,1022,11.4,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.4,0.4,0.00,0.03,0.04,0.00,0.04,Matches,3a37d349
419,Maciel,br BRA,MF,New England,22,2000,16,7,684,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.3,0.3,0.01,0.04,0.04,0.01,0.04,Matches,a39d51e0
420,Zac MacMath,us USA,GK,Real Salt Lake,30,1991,34,34,3060,34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,06caac45
421,Lukas MacNaughton,ca CAN,DF,Toronto FC,26,1995,25,20,1787,19.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches,b6111d16
422,Talles Magno,br BRA,FWMF,NYCFC,19,2002,34,32,2591,28.8,7,8,6,1,1,3,0,0.24,0.28,0.52,0.21,0.49,8.8,8.0,4.6,12.6,0.31,0.16,0.47,0.28,0.44,Matches,64c98878
423,Jack Maher,us USA,DF,Nashville,22,1999,27,19,1855,20.6,2,0,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.2,0.9,0.03,0.01,0.04,0.03,0.04,Matches,0c6f2fa6
424,Christian Makoun,ve VEN,MFDF,New England,21,2000,8,3,379,4.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches,7efffe65
425,Christian Makoun,ve VEN,DF,Charlotte,21,2000,13,8,856,9.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.06,0.03,0.09,0.06,0.09,Matches,7efffe65
426,Adilson Malanda,fr FRA,DF,Charlotte,20,2001,6,6,540,6.0,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches,9d83969b
427,Machop Malual,ss SSD,DFFW,Atlanta Utd,23,1998,6,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.14,0.00,0.14,0.14,0.14,Matches,1701b012
428,Elias Manoel,br BRA,FW,NY Red Bulls,20,2001,6,5,358,4.0,2,1,2,0,0,0,0,0.50,0.25,0.75,0.50,0.75,1.1,1.1,0.3,1.4,0.27,0.09,0.36,0.27,0.36,Matches,7f19cbe0
429,J.T. Marcinkowski,us USA,GK,San Jose,24,1997,33,33,2925,32.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,977791f4
430,Paul Marie,fr FRA,DF,San Jose,26,1995,32,26,2238,24.9,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.4,1.4,2.1,3.6,0.06,0.09,0.14,0.06,0.14,Matches,da0bb55a
431,Anthony Markanich,us USA,DF,Colorado Rapids,22,1999,3,3,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.08,0.10,0.18,0.08,0.18,Matches,565fde4a
432,Nick Markanich,us USA,FWMF,FC Cincinnati,22,1999,9,1,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,1.02,0.00,1.02,1.02,1.02,Matches,65988c73
