,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
76,Christian Benteke,be BEL,FW,D.C. United,31,1990,7,6,558,6.2,1,0,1,0,1,2,0,0.16,0.00,0.16,0.16,0.16,2.7,1.8,0.5,2.4,0.43,0.09,0.51,0.30,0.38,Matches,ab070c55
77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,18,11,1023,11.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.05,0.04,0.09,0.05,0.09,Matches,f33ee427
78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,13,13,1096,12.2,8,2,3,5,5,5,0,0.66,0.16,0.82,0.25,0.41,6.3,2.3,2.3,4.7,0.52,0.19,0.71,0.19,0.38,Matches,ee93c1a9
79,Miguel Berry,es ESP,FWMF,D.C. United,24,1997,14,8,712,7.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.8,0.12,0.10,0.22,0.12,0.22,Matches,a5532e80
80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,16,13,970,10.8,2,0,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,2.7,2.7,0.8,3.5,0.25,0.08,0.32,0.25,0.32,Matches,a5532e80
81,Matt Bersano,us USA,GK,San Jose,29,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9110da2b
82,Nick Besler,us USA,MFDF,Real Salt Lake,28,1993,11,2,251,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.05,0.06,0.01,0.06,Matches,cc9fa1a8
83,Victor Bezerra,us USA,FWDF,Chicago Fire,21,2000,5,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cbfb6ca5
84,David Bingham,us USA,GK,Portland Timbers,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7fd42a85
85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,32,32,2849,31.7,2,0,2,0,0,8,1,0.06,0.00,0.06,0.06,0.06,1.7,1.6,1.1,2.8,0.05,0.04,0.09,0.05,0.09,Matches,26637ac8
